SKU,GLOSSY WHITE,SLICED OAK SHAKER,BLACK WALNUT,WEATHERED OAK SHAKER,GLOSSY GREY,NATURAL OAK,WHITE OAK,MATTE WHITE,MATTE GREY,MATTE BLUE,GLOSSY BLACK,SLICED OAK,WEATHERED OAK
WDC2742,1458.09,1417.61,1374.48,1417.61,1458.09,1325.84,1325.84,1458.09,1458.09,1458.09,1458.09,,
WER2430,1006.25,975.09,941.85,975.09,1006.25,904.48,904.48,1006.25,1006.25,1006.25,1006.25,,
WER2436,1119.3,1081.81,1041.9,1081.81,1119.3,996.94,996.94,1119.3,1119.3,1119.3,1119.3,,
WER2442,1358.84,1315.14,1268.57,1315.14,1358.84,1216.13,1216.13,1358.84,1358.84,1358.84,1358.84,,
WBC2730,591.1,572.82,553.38,572.82,591.1,531.53,531.53,591.1,591.1,591.1,591.1,,
WBC2736,665.97,644.0,620.66,644.0,665.97,594.44,594.44,665.97,665.97,665.97,665.97,,
WBC2742,781.43,755.9,728.64,755.9,781.43,697.94,697.94,781.43,781.43,781.43,781.43,,
WBC3630,783.04,750.95,716.8,750.95,783.04,678.27,678.27,783.04,783.04,783.04,783.04,,
WBC3636,882.86,844.33,803.28,844.33,882.86,757.16,757.16,882.86,882.86,882.86,882.86,,
WBC3642,1038.11,993.26,945.3,993.26,1038.11,891.37,891.37,1038.11,1038.11,1038.11,1038.11,,
WBF2430,2284.48,2248.02,2209.04,2248.02,2284.48,2165.22,2165.22,2284.48,2284.48,2284.48,2284.48,,
WBF2730,2341.52,2300.35,2256.53,2300.35,2341.52,2207.2,2207.2,2341.52,2341.52,2341.52,2341.52,,
WBF3030,2398.44,2352.67,2304.03,2352.67,2398.44,2249.17,2249.17,2398.44,2398.44,2398.44,2398.44,,
WBF3630,2512.41,2457.55,2399.02,2457.55,2512.41,2333.24,2333.24,2512.41,2512.41,2512.41,2512.41,,
W3012,393.07,375.02,355.58,375.02,393.07,333.73,333.73,393.07,393.07,393.07,393.07,,
W3015,440.45,417.68,393.42,417.68,440.45,366.16,366.16,440.45,440.45,440.45,440.45,,
W3018,488.18,460.81,431.71,460.81,488.18,398.82,398.82,488.18,488.18,488.18,488.18,,
W3021,535.79,503.82,469.78,503.82,535.79,431.48,431.48,535.79,535.79,535.79,535.79,,
W3024,644.92,608.47,569.48,608.47,644.92,525.67,525.67,644.92,644.92,644.92,644.92,,
W3612,454.94,433.09,409.86,433.09,454.94,383.64,383.64,454.94,454.94,454.94,454.94,,
W3615,509.11,481.74,452.64,481.74,509.11,419.75,419.75,509.11,509.11,509.11,509.11,,
